"Rk","Wk","Date","Time","Day","Away","Pts","none","Home","Pts","TV","Notes","Away_CFB_Stats_Team_Code","Away_CFB_Stats_Name","Home_CFB_Stats_Team_Code","Home_CFB_Stats_Name"
"1","1","Sep 3 2015","","Thu","Alcorn State","0",NA,"Georgia Tech","0","","",17,"Alcorn St.",255,"Georgia Tech"
"2","1","Sep 3 2015","","Thu","California-Davis","0",NA,"Nevada","0","","",108,"UC Davis",466,"Nevada"
"3","1","Sep 3 2015","","Thu","Duke","0",NA,"Tulane","0","","",193,"Duke",718,"Tulane"
"4","1","Sep 3 2015","","Thu","Elon","0",NA,"Wake Forest","0","","",1068,"Elon",749,"Wake Forest"
"5","1","Sep 3 2015","","Thu","Michigan","0",NA,"Utah","0","","",418,"Michigan",732,"Utah"
"6","1","Sep 3 2015","","Thu","New Hampshire","0",NA,"San Jose State","0","","",469,"New Hampshire",630,"San Jose State"
"7","1","Sep 3 2015","","Thu","Ohio","0",NA,"Idaho","0","","",519,"Ohio",295,"Idaho"
"8","1","Sep 3 2015","","Thu","South Carolina","0",NA,"North Carolina","0","","",648,"South Carolina",457,"North Carolina"
"9","1","Sep 3 2015","","Thu","Texas Christian","0",NA,"Minnesota","0","","",698,"TCU",428,"Minnesota"
"10","1","Sep 3 2015","","Thu","Texas-San Antonio","0",NA,"Arizona","0","","",706,"UTSA",29,"Arizona"
"11","1","Sep 3 2015","","Thu","UNC Charlotte","0",NA,"Georgia State","0","","",NA,NA,254,"Georgia State"
"12","1","Sep 3 2015","","Thu","Villanova","0",NA,"Connecticut","0","","",739,"Villanova",164,"Connecticut"
"13","1","Sep 3 2015","","Thu","Virginia Military Institute","0",NA,"Ball State","0","","",741,"Virginia Military",47,"Ball State"
"14","1","Sep 4 2015","","Fri","Baylor","0",NA,"Southern Methodist","0","","",51,"Baylor",663,"SMU"
"15","1","Sep 4 2015","","Fri","Fordham","0",NA,"Army","0","","",236,"Fordham",725,"Army"
"16","1","Sep 4 2015","","Fri","Michigan State","0",NA,"Western Michigan","0","","",416,"Michigan State",774,"Western Michigan"
"17","1","Sep 4 2015","","Fri","Washington","0",NA,"Boise State","0","","",756,"Washington",66,"Boise State"
"18","1","Sep 4 2015","","Fri","Weber State","0",NA,"Oregon State","0","","",758,"Weber State",528,"Oregon State"
"19","1","Sep 5 2015","","Sat","Abilene Christian","0",NA,"Fresno State","0","","",2,"Abilene Christian",96,"Fresno State"
"20","1","Sep 5 2015","","Sat","Akron","0",NA,"Oklahoma","0","","",5,"Akron",522,"Oklahoma"
"21","1","Sep 5 2015","","Sat","Alabama A&M","0",NA,"Cincinnati","0","","",6,"Alabama A&M",140,"Cincinnati"
"22","1","Sep 5 2015","","Sat","Arizona State","0",NA,"Texas A&M","0","","",28,"Arizona State",697,"Texas A&M"
"23","1","Sep 5 2015","","Sat","Arkansas State","0",NA,"Southern California","0","","",30,"Arkansas State",657,"USC"
"24","1","Sep 5 2015","","Sat","Bethune-Cookman","0",NA,"Miami (FL)","0","","",61,"Bethune-Cookman",415,"Miami (Florida)"
"25","1","Sep 5 2015","","Sat","Bowling Green State","0",NA,"Tennessee","0","","",71,"Bowling Green",694,"Tennessee"
"26","1","Sep 5 2015","","Sat","Brigham Young","0",NA,"Nebraska","0","","",77,"BYU",463,"Nebraska"
"27","1","Sep 5 2015","","Sat","Colgate","0",NA,"Navy","0","","",153,"Colgate",726,"Navy"
"28","1","Sep 5 2015","","Sat","Colorado","0",NA,"Hawaii","0","","",157,"Colorado",277,"Hawai'i"
"29","1","Sep 5 2015","","Sat","Eastern Washington","0",NA,"Oregon","0","","",207,"Eastern Washington",529,"Oregon"
"30","1","Sep 5 2015","","Sat","Florida A&M","0",NA,"South Florida","0","","",228,"Florida A&M",651,"South Florida"
"31","1","Sep 5 2015","","Sat","Florida Atlantic","0",NA,"Tulsa","0","","",229,"Florida Atlantic",719,"Tulsa"
"32","1","Sep 5 2015","","Sat","Florida International","0",NA,"Central Florida","0","","",231,"Florida International",128,"UCF"
"33","1","Sep 5 2015","","Sat","Gardner-Webb","0",NA,"South Alabama","0","","",1092,"Gardner-Webb",646,"South Alabama"
"34","1","Sep 5 2015","","Sat","Georgia Southern","0",NA,"West Virginia","0","","",253,"Georgia Southern",768,"West Virginia"
"35","1","Sep 5 2015","","Sat","Grambling State","0",NA,"California","0","","",261,"Grambling",107,"California"
"36","1","Sep 5 2015","","Sat","Howard","0",NA,"Appalachian State","0","","",290,"Howard",27,"Appalachian State"
"37","1","Sep 5 2015","","Sat","Illinois State","0",NA,"Iowa","0","","",299,"Illinois State",312,"Iowa"
"38","1","Sep 5 2015","","Sat","Jackson State","0",NA,"Middle Tennessee State","0","","",314,"Jackson State",419,"Middle Tennessee"
"39","1","Sep 5 2015","","Sat","Kent State","0",NA,"Illinois","0","","",331,"Kent State",301,"Illinois"
"40","1","Sep 5 2015","","Sat","Louisiana-Lafayette","0",NA,"Kentucky","0","","",671,"Louisiana-Lafayette",334,"Kentucky"
"41","1","Sep 5 2015","","Sat","Louisiana-Monroe","0",NA,"Georgia","0","","",498,"Louisiana-Monroe",257,"Georgia"
"42","1","Sep 5 2015","","Sat","Louisville","0",NA,"Auburn","0","","",367,"Louisville",37,"Auburn"
"43","1","Sep 5 2015","","Sat","Maine","0",NA,"Boston College","0","","",380,"Maine",67,"Boston College"
"44","1","Sep 5 2015","","Sat","Mississippi State","0",NA,"Southern Mississippi","0","","",430,"Mississippi State",664,"Southern Mississippi"
"45","1","Sep 5 2015","","Sat","Missouri State","0",NA,"Memphis","0","","",669,"Missouri State",404,"Memphis"
"46","1","Sep 5 2015","","Sat","Morgan State","0",NA,"Air Force","0","","",446,"Morgan State",721,"Air Force"
"47","1","Sep 5 2015","","Sat","Nevada-Las Vegas","0",NA,"Northern Illinois","0","","",465,"UNLV",503,"Northern Illinois"
"48","1","Sep 5 2015","","Sat","New Mexico State","0",NA,"Florida","0","","",472,"New Mexico State",235,"Florida"
"49","1","Sep 5 2015","","Sat","Norfolk State","0",NA,"Rutgers","0","","",485,"Norfolk State",587,"Rutgers"
"50","1","Sep 5 2015","","Sat","North Dakota","0",NA,"Wyoming","0","","",494,"North Dakota",811,"Wyoming"
"51","1","Sep 5 2015","","Sat","Northern Iowa","0",NA,"Iowa State","0","","",504,"Northern Iowa",311,"Iowa State"
"52","1","Sep 5 2015","","Sat","Oklahoma State","0",NA,"Central Michigan","0","","",521,"Oklahoma State",129,"Central Michigan"
"53","1","Sep 5 2015","","Sat","Old Dominion","0",NA,"Eastern Michigan","0","","",523,"Old Dominion",204,"Eastern Michigan"
"54","1","Sep 5 2015","","Sat","Penn State","0",NA,"Temple","0","","",539,"Penn State",690,"Temple"
"55","1","Sep 5 2015","","Sat","Portland State","0",NA,"Washington State","0","","",550,"Portland State",754,"Washington State"
"56","1","Sep 5 2015","","Sat","Presbyterian","0",NA,"Miami (OH)","0","","",1320,"Presbyterian",414,"Miami (Ohio)"
"57","1","Sep 5 2015","","Sat","Purdue","0",NA,"Marshall","0","","",559,"Purdue",388,"Marshall"
"58","1","Sep 5 2015","","Sat","Rhode Island","0",NA,"Syracuse","0","","",572,"Rhode Island",688,"Syracuse"
"59","1","Sep 5 2015","","Sat","Richmond","0",NA,"Maryland","0","","",575,"Richmond",392,"Maryland"
"60","1","Sep 5 2015","","Sat","Sam Houston State","0",NA,"Texas Tech","0","","",624,"Sam Houston State",700,"Texas Tech"
"61","1","Sep 5 2015","","Sat","Savannah State","0",NA,"Colorado State","0","","",632,"Savannah State",156,"Colorado State"
"62","1","Sep 5 2015","","Sat","South Dakota","0",NA,"Kansas State","0","","",650,"South Dakota",327,"Kansas State"
"63","1","Sep 5 2015","","Sat","South Dakota State","0",NA,"Kansas","0","","",649,"South Dakota State",328,"Kansas"
"64","1","Sep 5 2015","","Sat","Southeast Missouri State","0",NA,"Missouri","0","","",654,"Southeast Missouri State",434,"Missouri"
"65","1","Sep 5 2015","","Sat","Southern","0",NA,"Louisiana Tech","0","","",665,"Southern University",366,"Louisiana Tech"
"66","1","Sep 5 2015","","Sat","Southern Illinois","0",NA,"Indiana","0","","",659,"Southern Illinois",306,"Indiana"
"67","1","Sep 5 2015","","Sat","Southern Utah","0",NA,"Utah State","0","","",667,"Southern Utah",731,"Utah State"
"68","1","Sep 5 2015","","Sat","Stanford","0",NA,"Northwestern","0","","",674,"Stanford",509,"Northwestern"
"69","1","Sep 5 2015","","Sat","Tennessee Tech","0",NA,"Houston","0","","",692,"Tennessee Tech",288,"Houston"
"70","1","Sep 5 2015","","Sat","Tennessee-Martin","0",NA,"Mississippi","0","","",695,"Tennessee-Martin",433,"Mississippi"
"71","1","Sep 5 2015","","Sat","Texas","0",NA,"Notre Dame","0","","",703,"Texas",513,"Notre Dame"
"72","1","Sep 5 2015","","Sat","Texas State","0",NA,"Florida State","0","","",670,"Texas State",234,"Florida State"
"73","1","Sep 5 2015","","Sat","Texas-El Paso","0",NA,"Arkansas","0","","",704,"UTEP",31,"Arkansas"
"74","1","Sep 5 2015","","Sat","Towson","0",NA,"East Carolina","0","","",711,"Towson",196,"East Carolina"
"75","1","Sep 5 2015","","Sat","Troy","0",NA,"North Carolina State","0","","",716,"Troy",490,"North Carolina State"
"76","1","Sep 5 2015","","Sat","Virginia","0",NA,"UCLA","0","","",746,"Virginia",110,"UCLA"
"77","1","Sep 5 2015","","Sat","Wagner","0",NA,"Rice","0","","",748,"Wagner",574,"Rice"
"78","1","Sep 5 2015","","Sat","Western Kentucky","0",NA,"Vanderbilt","0","","",772,"Western Kentucky",736,"Vanderbilt"
"79","1","Sep 5 2015","","Sat","Wisconsin","0",NA,"Alabama","0","","",796,"Wisconsin",8,"Alabama"
"80","1","Sep 5 2015","","Sat","Wofford","0",NA,"Clemson","0","","",2915,"Wofford",147,"Clemson"
"81","1","Sep 5 2015","","Sat","Youngstown State","0",NA,"Pittsburgh","0","","",817,"Youngstown State",545,"Pittsburgh"
"82","1","Sep 7 2015","","Mon","Ohio State","0",NA,"Virginia Tech","0","","",518,"Ohio State",742,"Virginia Tech"
"83","2","Sep 12 2015","","Sat","Appalachian State","0",NA,"Clemson","0","","",27,"Appalachian State",147,"Clemson"
"84","2","Sep 12 2015","","Sat","Arizona","0",NA,"Nevada","0","","",29,"Arizona",466,"Nevada"
"85","2","Sep 12 2015","","Sat","Army","0",NA,"Connecticut","0","","",725,"Army",164,"Connecticut"
"86","2","Sep 12 2015","","Sat","Austin Peay","0",NA,"Southern Mississippi","0","","",43,"Austin Peay",664,"Southern Mississippi"
"87","2","Sep 12 2015","","Sat","Ball State","0",NA,"Texas A&M","0","","",47,"Ball State",697,"Texas A&M"
"88","2","Sep 12 2015","","Sat","Boise State","0",NA,"Brigham Young","0","","",66,"Boise State",77,"BYU"
"89","2","Sep 12 2015","","Sat","Bowling Green State","0",NA,"Maryland","0","","",71,"Bowling Green",392,"Maryland"
"90","2","Sep 12 2015","","Sat","Buffalo","0",NA,"Penn State","0","","",86,"Buffalo",539,"Penn State"
"91","2","Sep 12 2015","","Sat","Cal Poly","0",NA,"Arizona State","0","","",90,"Cal Poly",28,"Arizona State"
"92","2","Sep 12 2015","","Sat","Central Arkansas","0",NA,"Oklahoma State","0","","",1004,"Central Arkansas",521,"Oklahoma State"
"93","2","Sep 12 2015","","Sat","Central Florida","0",NA,"Stanford","0","","",128,"UCF",674,"Stanford"
"94","2","Sep 12 2015","","Sat","Charleston Southern","0",NA,"Troy","0","","",48,"Charleston So.",716,"Troy"
"95","2","Sep 12 2015","","Sat","Delaware State","0",NA,"Kent State","0","","",178,"Delaware State",331,"Kent State"
"96","2","Sep 12 2015","","Sat","East Carolina","0",NA,"Florida","0","","",196,"East Carolina",235,"Florida"
"97","2","Sep 12 2015","","Sat","Eastern Illinois","0",NA,"Northwestern","0","","",201,"Eastern Illinois",509,"Northwestern"
"98","2","Sep 12 2015","","Sat","Eastern Kentucky","0",NA,"North Carolina State","0","","",202,"Eastern Kentucky",490,"North Carolina State"
"99","2","Sep 12 2015","","Sat","Eastern Michigan","0",NA,"Wyoming","0","","",204,"Eastern Michigan",811,"Wyoming"
"100","2","Sep 12 2015","","Sat","Florida International","0",NA,"Indiana","0","","",231,"Florida International",306,"Indiana"
"101","2","Sep 12 2015","","Sat","Fresno State","0",NA,"Mississippi","0","","",96,"Fresno State",433,"Mississippi"
"102","2","Sep 12 2015","","Sat","Furman","0",NA,"Virginia Tech","0","","",244,"Furman",742,"Virginia Tech"
"103","2","Sep 12 2015","","Sat","Georgia","0",NA,"Vanderbilt","0","","",257,"Georgia",736,"Vanderbilt"
"104","2","Sep 12 2015","","Sat","Georgia State","0",NA,"New Mexico State","0","","",254,"Georgia State",472,"New Mexico State"
"105","2","Sep 12 2015","","Sat","Hawaii","0",NA,"Ohio State","0","","",277,"Hawai'i",518,"Ohio State"
"106","2","Sep 12 2015","","Sat","Houston","0",NA,"Louisville","0","","",288,"Houston",367,"Louisville"
"107","2","Sep 12 2015","","Sat","Howard","0",NA,"Boston College","0","","",290,"Howard",67,"Boston College"
"108","2","Sep 12 2015","","Sat","Idaho","0",NA,"Southern California","0","","",295,"Idaho",657,"USC"
"109","2","Sep 12 2015","","Sat","Indiana State","0",NA,"Purdue","0","","",305,"Indiana State",559,"Purdue"
"110","2","Sep 12 2015","","Sat","Iowa","0",NA,"Iowa State","0","","",312,"Iowa",311,"Iowa State"
"111","2","Sep 12 2015","","Sat","Jacksonville State","0",NA,"Auburn","0","","",315,"Jacksonville State",37,"Auburn"
"112","2","Sep 12 2015","","Sat","Kansas State","0",NA,"Texas-San Antonio","0","","",327,"Kansas State",706,"UTSA"
"113","2","Sep 12 2015","","Sat","Kentucky","0",NA,"South Carolina","0","","",334,"Kentucky",648,"South Carolina"
"114","2","Sep 12 2015","","Sat","Lamar","0",NA,"Baylor","0","","",346,"Lamar",51,"Baylor"
"115","2","Sep 12 2015","","Sat","Liberty","0",NA,"West Virginia","0","","",355,"Liberty",768,"West Virginia"
"116","2","Sep 12 2015","","Sat","Louisiana Tech","0",NA,"Western Kentucky","0","","",366,"Louisiana Tech",772,"Western Kentucky"
"117","2","Sep 12 2015","","Sat","Marshall","0",NA,"Ohio","0","","",388,"Marshall",519,"Ohio"
"118","2","Sep 12 2015","","Sat","Massachusetts","0",NA,"Colorado","0","","",400,"Massachusetts",157,"Colorado"
"119","2","Sep 12 2015","","Sat","Memphis","0",NA,"Kansas","0","","",404,"Memphis",328,"Kansas"
"120","2","Sep 12 2015","","Sat","Miami (FL)","0",NA,"Florida Atlantic","0","","",415,"Miami (Florida)",229,"Florida Atlantic"
"121","2","Sep 12 2015","","Sat","Miami (OH)","0",NA,"Wisconsin","0","","",414,"Miami (Ohio)",796,"Wisconsin"
"122","2","Sep 12 2015","","Sat","Middle Tennessee State","0",NA,"Alabama","0","","",419,"Middle Tennessee",8,"Alabama"
"123","2","Sep 12 2015","","Sat","Minnesota","0",NA,"Colorado State","0","","",428,"Minnesota",156,"Colorado State"
"124","2","Sep 12 2015","","Sat","Missouri","0",NA,"Arkansas State","0","","",434,"Missouri",30,"Arkansas State"
"125","2","Sep 12 2015","","Sat","Murray State","0",NA,"Northern Illinois","0","","",454,"Murray State",503,"Northern Illinois"
"126","2","Sep 12 2015","","Sat","Nicholls State","0",NA,"Louisiana-Monroe","0","","",483,"Nicholls State",498,"Louisiana-Monroe"
"127","2","Sep 12 2015","","Sat","Norfolk State","0",NA,"Old Dominion","0","","",485,"Norfolk State",523,"Old Dominion"
"128","2","Sep 12 2015","","Sat","North Carolina Central","0",NA,"Duke","0","","",489,"N.C. Central",193,"Duke"
"129","2","Sep 12 2015","","Sat","North Texas","0",NA,"Southern Methodist","0","","",497,"North Texas",663,"SMU"
"130","2","Sep 12 2015","","Sat","Northwestern State","0",NA,"Louisiana-Lafayette","0","","",508,"Northwestern State",671,"Louisiana-Lafayette"
"131","2","Sep 12 2015","","Sat","Notre Dame","0",NA,"Virginia","0","","",513,"Notre Dame",746,"Virginia"
"132","2","Sep 12 2015","","Sat","Oklahoma","0",NA,"Tennessee","0","","",522,"Oklahoma",694,"Tennessee"
"133","2","Sep 12 2015","","Sat","Oregon","0",NA,"Michigan State","0","","",529,"Oregon",416,"Michigan State"
"134","2","Sep 12 2015","","Sat","Oregon State","0",NA,"Michigan","0","","",528,"Oregon State",418,"Michigan"
"135","2","Sep 12 2015","","Sat","Pittsburgh","0",NA,"Akron","0","","",545,"Pittsburgh",5,"Akron"
"136","2","Sep 12 2015","","Sat","Prairie View A&M","0",NA,"Texas State","0","","",553,"Prairie View A&M",670,"Texas State"
"137","2","Sep 12 2015","","Sat","Presbyterian","0",NA,"UNC Charlotte","0","","",1320,"Presbyterian",NA,NA
"138","2","Sep 12 2015","","Sat","Rice","0",NA,"Texas","0","","",574,"Rice",703,"Texas"
"139","2","Sep 12 2015","","Sat","Sacramento State","0",NA,"Washington","0","","",102,"Sacramento State",756,"Washington"
"140","2","Sep 12 2015","","Sat","San Diego State","0",NA,"California","0","","",626,"San Diego State",107,"California"
"141","2","Sep 12 2015","","Sat","San Jose State","0",NA,"Air Force","0","","",630,"San Jose State",721,"Air Force"
"142","2","Sep 12 2015","","Sat","South Alabama","0",NA,"Nebraska","0","","",646,"South Alabama",463,"Nebraska"
"143","2","Sep 12 2015","","Sat","South Florida","0",NA,"Florida State","0","","",651,"South Florida",234,"Florida State"
"144","2","Sep 12 2015","","Sat","Stephen F. Austin","0",NA,"Texas Christian","0","","",676,"Stephen F. Austin",698,"TCU"
"145","2","Sep 12 2015","","Sat","Temple","0",NA,"Cincinnati","0","","",690,"Temple",140,"Cincinnati"
"146","2","Sep 12 2015","","Sat","Texas-El Paso","0",NA,"Texas Tech","0","","",704,"UTEP",700,"Texas Tech"
"147","2","Sep 12 2015","","Sat","Toledo","0",NA,"Arkansas","0","","",709,"Toledo",31,"Arkansas"
"148","2","Sep 12 2015","","Sat","Tulane","0",NA,"Georgia Tech","0","","",718,"Tulane",255,"Georgia Tech"
"149","2","Sep 12 2015","","Sat","Tulsa","0",NA,"New Mexico","0","","",719,"Tulsa",473,"New Mexico"
"150","2","Sep 12 2015","","Sat","UCLA","0",NA,"Nevada-Las Vegas","0","","",110,"UCLA",465,"UNLV"
"151","2","Sep 12 2015","","Sat","Utah State","0",NA,"Utah","0","","",731,"Utah State",732,"Utah"
"152","2","Sep 12 2015","","Sat","Wake Forest","0",NA,"Syracuse","0","","",749,"Wake Forest",688,"Syracuse"
"153","2","Sep 12 2015","","Sat","Washington State","0",NA,"Rutgers","0","","",754,"Washington State",587,"Rutgers"
"154","2","Sep 12 2015","","Sat","Western Illinois","0",NA,"Illinois","0","","",771,"Western Illinois",301,"Illinois"
"155","2","Sep 12 2015","","Sat","Western Michigan","0",NA,"Georgia Southern","0","","",774,"Western Michigan",253,"Georgia Southern"
"156","3","Sep 17 2015","","Thu","Clemson","0",NA,"Louisville","0","","",147,"Clemson",367,"Louisville"
"157","3","Sep 18 2015","","Fri","Florida State","0",NA,"Boston College","0","","",234,"Florida State",67,"Boston College"
"158","3","Sep 18 2015","","Fri","Idaho State","0",NA,"Boise State","0","","",294,"Idaho State",66,"Boise State"
"159","3","Sep 18 2015","","Fri","New Mexico","0",NA,"Arizona State","0","","",473,"New Mexico",28,"Arizona State"
"160","3","Sep 19 2015","","Sat","Air Force","0",NA,"Michigan State","0","","",721,"Air Force",416,"Michigan State"
"161","3","Sep 19 2015","","Sat","Auburn","0",NA,"Louisiana State","0","","",37,"Auburn",365,"LSU"
"162","3","Sep 19 2015","","Sat","Austin Peay","0",NA,"Vanderbilt","0","","",43,"Austin Peay",736,"Vanderbilt"
"163","3","Sep 19 2015","","Sat","Ball State","0",NA,"Eastern Michigan","0","","",47,"Ball State",204,"Eastern Michigan"
"164","3","Sep 19 2015","","Sat","Brigham Young","0",NA,"UCLA","0","","",77,"BYU",110,"UCLA"
"165","3","Sep 19 2015","","Sat","Buffalo","0",NA,"Florida Atlantic","0","","",86,"Buffalo",229,"Florida Atlantic"
"166","3","Sep 19 2015","","Sat","California","0",NA,"Texas","0","","",107,"California",703,"Texas"
"167","3","Sep 19 2015","","Sat","California-Davis","0",NA,"Hawaii","0","","",108,"UC Davis",277,"Hawai'i"
"168","3","Sep 19 2015","","Sat","Central Michigan","0",NA,"Syracuse","0","","",129,"Central Michigan",688,"Syracuse"
"169","3","Sep 19 2015","","Sat","Cincinnati","0",NA,"Miami (OH)","0","","",140,"Cincinnati",414,"Miami (Ohio)"
"170","3","Sep 19 2015","","Sat","Citadel","0",NA,"Georgia Southern","0","","",141,"Citadel",253,"Georgia Southern"
"171","3","Sep 19 2015","","Sat","Colorado","0",NA,"Colorado State","0","","",157,"Colorado",156,"Colorado State"
"172","3","Sep 19 2015","","Sat","Connecticut","0",NA,"Missouri","0","","",164,"Connecticut",434,"Missouri"
"173","3","Sep 19 2015","","Sat","East Carolina","0",NA,"Navy","0","","",196,"East Carolina",726,"Navy"
"174","3","Sep 19 2015","","Sat","Florida","0",NA,"Kentucky","0","","",235,"Florida",334,"Kentucky"
"175","3","Sep 19 2015","","Sat","Furman","0",NA,"Central Florida","0","","",244,"Furman",128,"UCF"
"176","3","Sep 19 2015","","Sat","Georgia State","0",NA,"Oregon","0","","",254,"Georgia State",529,"Oregon"
"177","3","Sep 19 2015","","Sat","Georgia Tech","0",NA,"Notre Dame","0","","",255,"Georgia Tech",513,"Notre Dame"
"178","3","Sep 19 2015","","Sat","Illinois","0",NA,"North Carolina","0","","",301,"Illinois",457,"North Carolina"
"179","3","Sep 19 2015","","Sat","Iowa State","0",NA,"Toledo","0","","",311,"Iowa State",709,"Toledo"
"180","3","Sep 19 2015","","Sat","Kent State","0",NA,"Minnesota","0","","",331,"Kent State",428,"Minnesota"
"181","3","Sep 19 2015","","Sat","Louisiana Tech","0",NA,"Kansas State","0","","",366,"Louisiana Tech",327,"Kansas State"
"182","3","Sep 19 2015","","Sat","Maine","0",NA,"Tulane","0","","",380,"Maine",718,"Tulane"
"183","3","Sep 19 2015","","Sat","Memphis","0",NA,"Bowling Green State","0","","",404,"Memphis",71,"Bowling Green"
"184","3","Sep 19 2015","","Sat","Mississippi","0",NA,"Alabama","0","","",433,"Mississippi",8,"Alabama"
"185","3","Sep 19 2015","","Sat","Missouri State","0",NA,"Arkansas State","0","","",669,"Missouri State",30,"Arkansas State"
"186","3","Sep 19 2015","","Sat","Nebraska","0",NA,"Miami (FL)","0","","",463,"Nebraska",415,"Miami (Florida)"
"187","3","Sep 19 2015","","Sat","Nevada","0",NA,"Texas A&M","0","","",466,"Nevada",697,"Texas A&M"
"188","3","Sep 19 2015","","Sat","Nevada-Las Vegas","0",NA,"Michigan","0","","",465,"UNLV",418,"Michigan"
"189","3","Sep 19 2015","","Sat","Norfolk State","0",NA,"Marshall","0","","",485,"Norfolk State",388,"Marshall"
"190","3","Sep 19 2015","","Sat","North Carolina Central","0",NA,"Florida International","0","","",489,"N.C. Central",231,"Florida International"
"191","3","Sep 19 2015","","Sat","North Carolina State","0",NA,"Old Dominion","0","","",490,"North Carolina State",523,"Old Dominion"
"192","3","Sep 19 2015","","Sat","Northern Arizona","0",NA,"Arizona","0","","",501,"Northern Arizona",29,"Arizona"
"193","3","Sep 19 2015","","Sat","Northern Illinois","0",NA,"Ohio State","0","","",503,"Northern Illinois",518,"Ohio State"
"194","3","Sep 19 2015","","Sat","Northwestern","0",NA,"Duke","0","","",509,"Northwestern",193,"Duke"
"195","3","Sep 19 2015","","Sat","Pittsburgh","0",NA,"Iowa","0","","",545,"Pittsburgh",312,"Iowa"
"196","3","Sep 19 2015","","Sat","Rice","0",NA,"North Texas","0","","",574,"Rice",497,"North Texas"
"197","3","Sep 19 2015","","Sat","Rutgers","0",NA,"Penn State","0","","",587,"Rutgers",539,"Penn State"
"198","3","Sep 19 2015","","Sat","San Jose State","0",NA,"Oregon State","0","","",630,"San Jose State",528,"Oregon State"
"199","3","Sep 19 2015","","Sat","Savannah State","0",NA,"Akron","0","","",632,"Savannah State",5,"Akron"
"200","3","Sep 19 2015","","Sat","South Alabama","0",NA,"San Diego State","0","","",646,"South Alabama",626,"San Diego State"
