"Team","Recruits","Class_Points","Conference","Year"
"Florida State",20,270.91,"ACC","2005"
"Miami",15,237.42,"ACC","2005"
"Virginia",23,205.09,"ACC","2005"
"Clemson",25,202.65,"ACC","2005"
"Virginia Tech",23,200.45,"ACC","2005"
"N.C. State",19,182.28,"ACC","2005"
"Louisville",25,172.46,"ACC","2005"
"North Carolina",25,147.93,"ACC","2005"
"Duke",23,147.6,"ACC","2005"
"Pittsburgh",23,147.43,"ACC","2005"
"Boston College",15,135,"ACC","2005"
"Georgia Tech",18,117.72,"ACC","2005"
"Syracuse",16,116.85,"ACC","2005"
"Wake Forest",18,110.13,"ACC","2005"
"Oklahoma",22,273.97,"Big-12","2005"
"Texas A&M",25,222.99,"Big-12","2005"
"Texas",14,208.71,"Big-12","2005"
"Kansas State",25,167.94,"Big-12","2005"
"Texas Tech",21,164.31,"Big-12","2005"
"Missouri",23,162.65,"Big-12","2005"
"West Virginia",31,162.3,"Big-12","2005"
"Kansas",27,155.53,"Big-12","2005"
"Iowa State",21,149.92,"Big-12","2005"
"Oklahoma State",21,141.5,"Big-12","2005"
"TCU",22,139.76,"Big-12","2005"
"Baylor",21,111.43,"Big-12","2005"
"SMU",26,123.51,"AAC","2005"
"USF",21,123.35,"AAC","2005"
"Tulsa",21,123.24,"AAC","2005"
"UCF",25,112.75,"AAC","2005"
"Connecticut",25,109.19,"AAC","2005"
"Houston",21,99.6,"AAC","2005"
"Cincinnati",26,91.9,"AAC","2005"
"Memphis",29,90.83,"AAC","2005"
"Tulane",19,79.25,"AAC","2005"
"East Carolina",23,64.24,"AAC","2005"
"Temple",27,59.58,"AAC","2005"
"Michigan",22,263.4,"Big-Ten","2005"
"Iowa",22,245.41,"Big-Ten","2005"
"Nebraska",31,240.37,"Big-Ten","2005"
"Penn State",19,187.47,"Big-Ten","2005"
"Purdue",20,186.73,"Big-Ten","2005"
"Maryland",22,185.15,"Big-Ten","2005"
"Wisconsin",21,172.93,"Big-Ten","2005"
"Michigan State",25,170.24,"Big-Ten","2005"
"Illinois",18,146.14,"Big-Ten","2005"
"Northwestern",20,132.12,"Big-Ten","2005"
"Minnesota",20,130.82,"Big-Ten","2005"
"Rutgers",21,119.11,"Big-Ten","2005"
"Ohio State",6,109.84,"Big-Ten","2005"
"Indiana",23,96.7,"Big-Ten","2005"
"Southern Miss",23,113.66,"C-USA","2005"
"UTEP",23,112.13,"C-USA","2005"
"Marshall",25,103.77,"C-USA","2005"
"UAB",27,102.97,"C-USA","2005"
"Middle Tennessee State",25,96.63,"C-USA","2005"
"Louisiana Tech",19,85.95,"C-USA","2005"
"North Texas",24,81.42,"C-USA","2005"
"Rice",19,79.76,"C-USA","2005"
"Florida Atlantic",6,28.65,"C-USA","2005"
"FIU",8,26.01,"C-USA","2005"
"Notre Dame",14,168.56,"IND","2005"
"Brigham Young",16,123.78,"IND","2005"
"Navy",11,36.56,"IND","2005"
"Army",7,17.46,"IND","2005"
"Northern Illinois",24,98.12,"MAC","2005"
"Akron",23,88.15,"MAC","2005"
"Western Michigan",19,88.12,"MAC","2005"
"Bowling Green",21,77.32,"MAC","2005"
"Buffalo",17,74.63,"MAC","2005"
"Ohio",28,72.6,"MAC","2005"
"Ball State",17,71.8,"MAC","2005"
"Central Michigan",25,71.59,"MAC","2005"
"Miami (OH)",13,69.73,"MAC","2005"
"Toledo",22,64.94,"MAC","2005"
"Kent State",23,64.82,"MAC","2005"
"Eastern Michigan",18,28.36,"MAC","2005"
"Massachusetts",1,0,"MAC","2005"
"San Diego State",28,155.45,"M-West","2005"
"Boise State",16,112.74,"M-West","2005"
"UNLV",28,107.1,"M-West","2005"
"Hawaii",17,103.51,"M-West","2005"
"Fresno State",21,96.34,"M-West","2005"
"Colorado State",18,92.39,"M-West","2005"
"New Mexico",17,85.29,"M-West","2005"
"Nevada",21,80.62,"M-West","2005"
"Wyoming",20,58.44,"M-West","2005"
"Utah State",22,56.86,"M-West","2005"
"Air Force",16,49.33,"M-West","2005"
"San Jose State",8,44.52,"M-West","2005"
"USC",17,282.5,"Pac-12","2005"
"California",25,235.48,"Pac-12","2005"
"Arizona",21,206.31,"Pac-12","2005"
"UCLA",21,191.2,"Pac-12","2005"
"Stanford",17,185.93,"Pac-12","2005"
"Oregon",21,177.41,"Pac-12","2005"
"Arizona State",21,169.53,"Pac-12","2005"
"Colorado",25,162.75,"Pac-12","2005"
"Washington State",21,158.13,"Pac-12","2005"
"Oregon State",27,144.31,"Pac-12","2005"
"Utah",25,124.85,"Pac-12","2005"
"Washington",13,117.03,"Pac-12","2005"
"Tennessee",21,271.37,"SEC","2005"
"Georgia",17,247.88,"SEC","2005"
"Florida",17,218.56,"SEC","2005"
"LSU",13,208.85,"SEC","2005"
"Auburn",21,203.47,"SEC","2005"
"South Carolina",27,202.23,"SEC","2005"
"Alabama",28,194.97,"SEC","2005"
"Arkansas",20,179.49,"SEC","2005"
"Ole Miss",28,173.73,"SEC","2005"
"Mississippi State",27,170.64,"SEC","2005"
"Vanderbilt",25,89.9,"SEC","2005"
"Kentucky",26,0,"SEC","2005"
"Louisiana-Lafayette",20,94.87,"SBC","2005"
"Troy",30,85.35,"SBC","2005"
"Idaho",23,78.62,"SBC","2005"
"Louisiana-Monroe",31,58.84,"SBC","2005"
"Arkansas State",22,57.51,"SBC","2005"
"New Mexico State",22,22.95,"SBC","2005"
"Texas State",1,0,"SBC","2005"
"Florida State",30,272.2,"ACC","2006"
"Pittsburgh",26,228.32,"ACC","2006"
"Clemson",22,228.29,"ACC","2006"
"Miami",17,226.35,"ACC","2006"
"North Carolina",27,194.02,"ACC","2006"
"Louisville",24,193.97,"ACC","2006"
"Virginia Tech",19,175.15,"ACC","2006"
"Boston College",20,153.33,"ACC","2006"
"Duke",25,148.49,"ACC","2006"
"N.C. State",19,147.06,"ACC","2006"
"Syracuse",21,139.54,"ACC","2006"
"Georgia Tech",17,131.08,"ACC","2006"
"Wake Forest",14,111.19,"ACC","2006"
"Virginia",23,101.54,"ACC","2006"
"Texas",22,275.82,"Big-12","2006"
"Oklahoma",28,259.58,"Big-12","2006"
"Texas A&M",24,214.9,"Big-12","2006"
"Oklahoma State",28,207.42,"Big-12","2006"
"Texas Tech",33,189.11,"Big-12","2006"
"Kansas State",29,161.25,"Big-12","2006"
"Kansas",23,154.41,"Big-12","2006"
"Missouri",25,153.1,"Big-12","2006"
"Iowa State",30,144.64,"Big-12","2006"
"Baylor",27,140.4,"Big-12","2006"
"West Virginia",15,139.3,"Big-12","2006"
"TCU",18,126.11,"Big-12","2006"
"USF",29,145.78,"AAC","2006"
"East Carolina",26,110.37,"AAC","2006"
"UCF",21,107.29,"AAC","2006"
"Tulane",22,96.21,"AAC","2006"
"Houston",24,95.88,"AAC","2006"
"Connecticut",20,87.76,"AAC","2006"
"Tulsa",20,87.36,"AAC","2006"
"Memphis",14,86.9,"AAC","2006"
"Temple",25,76.42,"AAC","2006"
"Cincinnati",17,73.15,"AAC","2006"
"SMU",15,61.54,"AAC","2006"
"Penn State",22,262.56,"Big-Ten","2006"
"Michigan",18,249.44,"Big-Ten","2006"
"Nebraska",22,203.85,"Big-Ten","2006"
"Ohio State",20,196.41,"Big-Ten","2006"
"Maryland",22,190.14,"Big-Ten","2006"
"Illinois",22,182.51,"Big-Ten","2006"
"Iowa",20,165,"Big-Ten","2006"
"Wisconsin",18,162.59,"Big-Ten","2006"
"Michigan State",19,155.65,"Big-Ten","2006"
"Rutgers",26,150.66,"Big-Ten","2006"
"Purdue",26,143.2,"Big-Ten","2006"
"Minnesota",22,129.38,"Big-Ten","2006"
"Indiana",21,114.6,"Big-Ten","2006"
"Northwestern",15,102.71,"Big-Ten","2006"
"UAB",23,140.47,"C-USA","2006"
"Southern Miss",26,119.32,"C-USA","2006"
"UTEP",27,117.02,"C-USA","2006"
"Louisiana Tech",27,102.87,"C-USA","2006"
"Marshall",29,100.9,"C-USA","2006"
"FIU",24,89.02,"C-USA","2006"
"Rice",16,88.86,"C-USA","2006"
"North Texas",18,63.55,"C-USA","2006"
"Middle Tennessee State",13,62.49,"C-USA","2006"
"Florida Atlantic",20,31.38,"C-USA","2006"
"Notre Dame",26,276.23,"IND","2006"
"Brigham Young",26,124.31,"IND","2006"
"Navy",11,49.31,"IND","2006"
"Army",18,47.81,"IND","2006"
"Toledo",23,103.96,"MAC","2006"
"Northern Illinois",17,96.73,"MAC","2006"
"Ball State",21,93.19,"MAC","2006"
"Akron",22,93.17,"MAC","2006"
"Buffalo",15,93.15,"MAC","2006"
"Bowling Green",20,91.53,"MAC","2006"
"Miami (OH)",17,90.45,"MAC","2006"
"Western Michigan",18,89.78,"MAC","2006"
"Ohio",19,79.2,"MAC","2006"
"Central Michigan",25,68.06,"MAC","2006"
"Kent State",17,54.29,"MAC","2006"
"Eastern Michigan",22,51.57,"MAC","2006"
"Massachusetts",2,0,"MAC","2006"
"New Mexico",23,119.87,"M-West","2006"
"San Diego State",18,113.49,"M-West","2006"
"Colorado State",22,105.91,"M-West","2006"
"Boise State",18,98.48,"M-West","2006"
"Fresno State",20,95.41,"M-West","2006"
"San Jose State",22,93.85,"M-West","2006"
"UNLV",24,89.24,"M-West","2006"
"Wyoming",21,86.47,"M-West","2006"
"Nevada",25,81.37,"M-West","2006"
"Hawaii",18,61.01,"M-West","2006"
"Air Force",16,47.1,"M-West","2006"
"Utah State",22,42.79,"M-West","2006"
"USC",28,315.36,"Pac-12","2006"
"California",20,212.06,"Pac-12","2006"
"Arizona",21,211.12,"Pac-12","2006"
"Arizona State",24,181.72,"Pac-12","2006"
"Washington",20,178.44,"Pac-12","2006"
"Oregon State",31,168.99,"Pac-12","2006"
"Washington State",19,157.18,"Pac-12","2006"
"Oregon",21,147.52,"Pac-12","2006"
"Colorado",21,141.77,"Pac-12","2006"
"UCLA",15,141.64,"Pac-12","2006"
"Utah",23,140.16,"Pac-12","2006"
"Stanford",16,137.7,"Pac-12","2006"
"Florida",24,287.34,"SEC","2006"
"Georgia",26,286.11,"SEC","2006"
"LSU",22,253.55,"SEC","2006"
"Auburn",26,239.13,"SEC","2006"
"Alabama",25,225.2,"SEC","2006"
"Ole Miss",29,224.92,"SEC","2006"
"Arkansas",26,193.11,"SEC","2006"
"Tennessee",18,191.86,"SEC","2006"
"South Carolina",25,167.64,"SEC","2006"
"Mississippi State",24,155.59,"SEC","2006"
"Kentucky",35,137.98,"SEC","2006"
"Vanderbilt",25,137.45,"SEC","2006"
"Troy",23,92.71,"SBC","2006"
"Idaho",19,88.62,"SBC","2006"
"Louisiana-Lafayette",17,76.72,"SBC","2006"
"Louisiana-Monroe",21,67.57,"SBC","2006"
"Arkansas State",22,64.59,"SBC","2006"
"New Mexico State",14,62.97,"SBC","2006"
"Appalachian State",1,0,"SBC","2006"
"North Carolina",23,234.43,"ACC","2007"
"Miami",18,230.93,"ACC","2007"
"Georgia Tech",22,220.79,"ACC","2007"
"Pittsburgh",24,217.68,"ACC","2007"
"Clemson",24,217.31,"ACC","2007"
"Florida State",17,205.41,"ACC","2007"
"Virginia Tech",26,204.65,"ACC","2007"
"Virginia",26,190.62,"ACC","2007"
"Louisville",16,171.32,"ACC","2007"
"Boston College",18,163.88,"ACC","2007"
"N.C. State",23,156.36,"ACC","2007"
"Syracuse",25,155.89,"ACC","2007"
"Duke",21,126.25,"ACC","2007"
"Wake Forest",21,125.05,"ACC","2007"
"Texas",24,282.61,"Big-12","2007"
"Oklahoma",21,215.61,"Big-12","2007"
"Oklahoma State",23,207.85,"Big-12","2007"
"West Virginia",29,204.84,"Big-12","2007"
"Missouri",28,188.94,"Big-12","2007"
"Kansas State",33,175.83,"Big-12","2007"
"Texas A&M",14,169.25,"Big-12","2007"
"Texas Tech",26,162.2,"Big-12","2007"
"Iowa State",25,147.04,"Big-12","2007"
"TCU",23,144.89,"Big-12","2007"
"Kansas",22,143.71,"Big-12","2007"
"Baylor",13,117.25,"Big-12","2007"
"USF",24,150.02,"AAC","2007"
"UCF",29,144.98,"AAC","2007"
"Connecticut",29,142.1,"AAC","2007"
"Houston",26,138.01,"AAC","2007"
"Temple",28,124.87,"AAC","2007"
"East Carolina",26,117.54,"AAC","2007"
"Memphis",23,116.57,"AAC","2007"
"SMU",23,113.89,"AAC","2007"
"Tulsa",29,107.99,"AAC","2007"
"Cincinnati",22,103.37,"AAC","2007"
"Tulane",24,84.03,"AAC","2007"
"Michigan",20,243.77,"Big-Ten","2007"
"Nebraska",35,215.1,"Big-Ten","2007"
"Illinois",22,207.72,"Big-Ten","2007"
"Rutgers",21,195.05,"Big-Ten","2007"
"Iowa",27,187.55,"Big-Ten","2007"
"Wisconsin",20,187.21,"Big-Ten","2007"
"Penn State",15,184.33,"Big-Ten","2007"
"Maryland",25,181.55,"Big-Ten","2007"
"Michigan State",30,151.57,"Big-Ten","2007"
"Northwestern",19,149.33,"Big-Ten","2007"
"Minnesota",21,148.55,"Big-Ten","2007"
"Purdue",18,142.59,"Big-Ten","2007"
"Ohio State",20,129.02,"Big-Ten","2007"
"Indiana",17,113.86,"Big-Ten","2007"
"Southern Miss",29,139.96,"C-USA","2007"
"Marshall",25,128.31,"C-USA","2007"
"Louisiana Tech",22,114.97,"C-USA","2007"
"Rice",23,101.71,"C-USA","2007"
"Middle Tennessee State",24,96.55,"C-USA","2007"
"North Texas",17,96.12,"C-USA","2007"
"FIU",18,90.5,"C-USA","2007"
"UAB",23,81.19,"C-USA","2007"
"Florida Atlantic",1,0,"C-USA","2007"
"Western Kentucky",1,0,"C-USA","2007"
"Notre Dame",35,264.97,"IND","2007"
"Brigham Young",25,166.36,"IND","2007"
"Army",10,23.83,"IND","2007"
"Navy",2,0,"IND","2007"
"Akron",24,124.7,"MAC","2007"
"Miami (OH)",23,115.24,"MAC","2007"
"Toledo",19,113.34,"MAC","2007"
"Ball State",24,97.16,"MAC","2007"
"Kent State",26,95.54,"MAC","2007"
"Western Michigan",23,90.38,"MAC","2007"
"Northern Illinois",19,87.64,"MAC","2007"
"Central Michigan",15,81.31,"MAC","2007"
"Eastern Michigan",23,77.3,"MAC","2007"
"Bowling Green",20,76.05,"MAC","2007"
"Ohio",21,73.7,"MAC","2007"
"Buffalo",20,66.63,"MAC","2007"
"Boise State",28,143.6,"M-West","2007"
"Hawaii",19,135.48,"M-West","2007"
"Fresno State",25,122.26,"M-West","2007"
"San Diego State",21,119.63,"M-West","2007"
"Wyoming",21,115.27,"M-West","2007"
"Colorado State",24,114.2,"M-West","2007"
"UNLV",20,109.11,"M-West","2007"
"San Jose State",17,103.57,"M-West","2007"
"New Mexico",26,96.2,"M-West","2007"
"Nevada",18,94.64,"M-West","2007"
"Utah State",23,79.11,"M-West","2007"
"Air Force",9,42.11,"M-West","2007"
"USC",20,301.22,"Pac-12","2007"
"Oregon",30,226.16,"Pac-12","2007"
"California",24,211.83,"Pac-12","2007"
"Colorado",27,201,"Pac-12","2007"
"Arizona State",24,185.3,"Pac-12","2007"
"Washington",26,182,"Pac-12","2007"
"Oregon State",32,173.22,"Pac-12","2007"
"Stanford",19,163.45,"Pac-12","2007"
"Washington State",22,158.19,"Pac-12","2007"
"Arizona",13,150.21,"Pac-12","2007"
"Utah",24,143.23,"Pac-12","2007"
"UCLA",6,105.82,"Pac-12","2007"
"Florida",29,310.24,"SEC","2007"
"Tennessee",33,282.81,"SEC","2007"
"LSU",27,278.37,"SEC","2007"
"South Carolina",31,259.98,"SEC","2007"
"Georgia",24,242.13,"SEC","2007"
"Auburn",35,239.66,"SEC","2007"
"Alabama",31,228.99,"SEC","2007"
"Ole Miss",22,215.61,"SEC","2007"
"Mississippi State",35,189.31,"SEC","2007"
"Arkansas",26,176.53,"SEC","2007"
"Vanderbilt",14,119.06,"SEC","2007"
"Kentucky",29,20.72,"SEC","2007"
"Troy",28,130.27,"SBC","2007"
"Idaho",21,92.78,"SBC","2007"
"Arkansas State",28,90.11,"SBC","2007"
"Louisiana-Lafayette",18,84.03,"SBC","2007"
"New Mexico State",23,80.28,"SBC","2007"
"Louisiana-Monroe",26,75.61,"SBC","2007"
"Miami",32,291.27,"ACC","2008"
"Clemson",23,261.1,"ACC","2008"
"Florida State",29,254.37,"ACC","2008"
"Pittsburgh",22,221.09,"ACC","2008"
"Virginia Tech",31,213.6,"ACC","2008"
"N.C. State",26,211.96,"ACC","2008"
"North Carolina",20,200.76,"ACC","2008"
"Boston College",32,181.2,"ACC","2008"
"Louisville",25,165.71,"ACC","2008"
"Georgia Tech",21,162,"ACC","2008"
"Syracuse",23,155.4,"ACC","2008"
"Virginia",36,143.74,"ACC","2008"
"Wake Forest",18,141.14,"ACC","2008"
"Duke",16,133.91,"ACC","2008"
"Oklahoma",23,285.17,"Big-12","2008"
"Texas",21,266.14,"Big-12","2008"
"Texas A&M",20,222.56,"Big-12","2008"
"Missouri",25,197.85,"Big-12","2008"
"Oklahoma State",28,196.5,"Big-12","2008"
"Kansas State",33,193.72,"Big-12","2008"
"Kansas",18,174.67,"Big-12","2008"
"West Virginia",30,164.99,"Big-12","2008"
"Baylor",21,150.37,"Big-12","2008"
"Iowa State",24,147.72,"Big-12","2008"
"TCU",18,122.35,"Big-12","2008"
"Texas Tech",11,120.6,"Big-12","2008"
"Memphis",21,143.07,"AAC","2008"
"UCF",21,142.99,"AAC","2008"
"USF",27,135.49,"AAC","2008"
"Tulsa",26,125.49,"AAC","2008"
"SMU",30,123.76,"AAC","2008"
"Temple",26,121.69,"AAC","2008"
"Houston",20,120.47,"AAC","2008"
"Connecticut",21,118.35,"AAC","2008"
"East Carolina",20,108.73,"AAC","2008"
"Tulane",19,95.09,"AAC","2008"
"Cincinnati",21,92.13,"AAC","2008"
"Ohio State",21,269.61,"Big-Ten","2008"
"Michigan",24,256.91,"Big-Ten","2008"
"Illinois",27,211.64,"Big-Ten","2008"
"Nebraska",47,205.91,"Big-Ten","2008"
"Minnesota",29,203.93,"Big-Ten","2008"
"Penn State",17,188.51,"Big-Ten","2008"
"Wisconsin",26,184.77,"Big-Ten","2008"
"Rutgers",21,172.92,"Big-Ten","2008"
"Michigan State",37,171.28,"Big-Ten","2008"
"Maryland",15,168.8,"Big-Ten","2008"
"Iowa",33,160.55,"Big-Ten","2008"
"Purdue",27,156.89,"Big-Ten","2008"
"Northwestern",20,135.68,"Big-Ten","2008"
"Indiana",20,134.98,"Big-Ten","2008"
"Southern Miss",27,183.03,"C-USA","2008"
"North Texas",26,148.47,"C-USA","2008"
"Middle Tennessee State",26,142.87,"C-USA","2008"
"Marshall",21,137.56,"C-USA","2008"
"Louisiana Tech",21,113.68,"C-USA","2008"
"FIU",24,112.65,"C-USA","2008"
"Rice",19,104.04,"C-USA","2008"
"UAB",26,103.96,"C-USA","2008"
"Western Kentucky",1,0,"C-USA","2008"
"UTEP",1,0,"C-USA","2008"
"Notre Dame",34,294.67,"IND","2008"
"Brigham Young",23,172.24,"IND","2008"
"Navy",18,73.09,"IND","2008"
"Army",25,66.25,"IND","2008"
"Toledo",23,119.27,"MAC","2008"
"Ohio",20,109.93,"MAC","2008"
"Kent State",24,105.4,"MAC","2008"
"Western Michigan",24,103.75,"MAC","2008"
"Akron",21,103.68,"MAC","2008"
"Miami (OH)",18,101.49,"MAC","2008"
"Central Michigan",23,94.17,"MAC","2008"
"Ball State",21,84.93,"MAC","2008"
"Eastern Michigan",23,79.64,"MAC","2008"
"Bowling Green",17,74.91,"MAC","2008"
"Buffalo",19,72.01,"MAC","2008"
"Northern Illinois",14,65.4,"MAC","2008"
"Massachusetts",1,0,"MAC","2008"
"Fresno State",24,140.29,"M-West","2008"
"Hawaii",23,121.43,"M-West","2008"
"Boise State",18,119.06,"M-West","2008"
"San Diego State",20,110.98,"M-West","2008"
"Colorado State",24,109.46,"M-West","2008"
"Nevada",25,107.14,"M-West","2008"
"New Mexico",23,106.1,"M-West","2008"
"Wyoming",22,103.13,"M-West","2008"
"UNLV",22,101.14,"M-West","2008"
"San Jose State",16,80.98,"M-West","2008"
"Utah State",20,78.64,"M-West","2008"
"Air Force",4,23.97,"M-West","2008"
"USC",20,285.58,"Pac-12","2008"
"UCLA",23,248.32,"Pac-12","2008"
"Colorado",22,225.54,"Pac-12","2008"
"Washington",26,219.25,"Pac-12","2008"
"Arizona State",28,218.44,"Pac-12","2008"
"Oregon",24,208.93,"Pac-12","2008"
"Arizona",22,198.32,"Pac-12","2008"
"California",22,197.94,"Pac-12","2008"
"Stanford",17,171.07,"Pac-12","2008"
"Oregon State",19,160.03,"Pac-12","2008"
"Utah",15,147.72,"Pac-12","2008"
"Washington State",27,137.8,"Pac-12","2008"
"Alabama",32,289.05,"SEC","2008"
"Florida",22,280.69,"SEC","2008"
"Georgia",25,279.12,"SEC","2008"
"LSU",25,255.34,"SEC","2008"
"Auburn",35,207.35,"SEC","2008"
"Arkansas",29,201.01,"SEC","2008"
"Ole Miss",31,198.37,"SEC","2008"
"Tennessee",18,196.12,"SEC","2008"
"South Carolina",29,191.52,"SEC","2008"
"Mississippi State",24,161.26,"SEC","2008"
"Kentucky",19,148.93,"SEC","2008"
"Vanderbilt",21,116.91,"SEC","2008"
"Troy",28,141.37,"SBC","2008"
"Louisiana-Monroe",21,113.43,"SBC","2008"
"New Mexico State",19,93.71,"SBC","2008"
"Idaho",22,84.6,"SBC","2008"
"Arkansas State",24,82.13,"SBC","2008"
"Louisiana-Lafayette",23,81.53,"SBC","2008"
"Appalachian State",1,0,"SBC","2008"
"North Carolina",28,254.96,"ACC","2009"
"Florida State",25,251.48,"ACC","2009"
"Miami",18,236.28,"ACC","2009"
"Virginia Tech",24,217.55,"ACC","2009"
"Clemson",15,202.9,"ACC","2009"
"Virginia",34,195.7,"ACC","2009"
"Pittsburgh",20,191.37,"ACC","2009"
"Georgia Tech",27,190.16,"ACC","2009"
"N.C. State",27,176.3,"ACC","2009"
"Duke",28,169.28,"ACC","2009"
"Louisville",29,161.45,"ACC","2009"
"Wake Forest",23,155.33,"ACC","2009"
"Boston College",22,146.56,"ACC","2009"
"Syracuse",16,115.21,"ACC","2009"
"Texas",20,269.94,"Big-12","2009"
"Oklahoma",22,258.53,"Big-12","2009"
"West Virginia",29,220.6,"Big-12","2009"
"Texas A&M",30,215.79,"Big-12","2009"
"Missouri",26,197.24,"Big-12","2009"
"Oklahoma State",26,196.88,"Big-12","2009"
"Texas Tech",24,195.65,"Big-12","2009"
