"Team","Team_Schedule","Team_Recruit","Team_Draft"
"Arizona State","Arizona State","Arizona State","Arizona State"
"Cincinnati","Cincinnati","Cincinnati","Cincinnati"
"Connecticut","Connecticut","Connecticut","Connecticut"
"Marshall","Marshall","Marshall","Marshall"
"Tulsa","Tulsa","Tulsa","Tulsa"
"Louisiana-Monroe","Louisiana-Monroe","Louisiana-Monroe","La-Monroe"
"Houston","Houston","Houston","Houston"
"South Carolina","South Carolina","South Carolina","South Carolina"
"Toledo","Toledo","Toledo","Toledo"
"Wake Forest","Wake Forest","Wake Forest","Wake Forest"
"Washington State","Washington State","Washington State","Washington State"
"Central Michigan","Central Michigan","Central Michigan","Central Michigan"
"Utah","Utah","Utah","Utah"
"Washington","Washington","Washington","Washington"
"Alabama","Alabama","Alabama","Alabama"
"Arkansas","Arkansas","Arkansas","Arkansas"
"Southern Methodist","Southern Methodist","SMU","SMU"
"Brigham Young","Brigham Young","Brigham Young","BYU"
"California","California","California","California"
"Clemson","Clemson","Clemson","Clemson"
"Colorado","Colorado","Colorado","Colorado"
"East Carolina","East Carolina","East Carolina","East Carolina"
"Florida","Florida","Florida","Florida"
"Georgia","Georgia","Georgia","Georgia"
"Auburn","Auburn","Auburn","Auburn"
"Illinois","Illinois","Illinois","Illinois"
"Iowa","Iowa","Iowa","Iowa"
"Iowa State","Iowa State","Iowa State","Iowa State"
"Kansas","Kansas","Kansas","Kansas"
"Kansas State","Kansas State","Kansas State","Kansas State"
"Maryland","Maryland","Maryland","Maryland"
"Michigan","Michigan","Michigan","Michigan"
"Michigan State","Michigan State","Michigan State","Michigan State"
"Mississippi State","Mississippi State","Mississippi State","Mississippi State"
"Missouri","Missouri","Missouri","Missouri"
"Nebraska","Nebraska","Nebraska","Nebraska"
"Northwestern","Northwestern","Northwestern","Northwestern"
"Pittsburgh","Pittsburgh","Pittsburgh","Pittsburgh"
"Ohio State","Ohio State","Ohio State","Ohio State"
"Oklahoma State","Oklahoma State","Oklahoma State","Oklahoma State"
"Oregon State","Oregon State","Oregon State","Oregon State"
"Penn State","Penn State","Penn State","Penn State"
"San Jose State","San Jose State","San Jose State","San Jose State"
"Hawaii","Hawaii","Hawaii","Hawaii"
"Tennessee","Tennessee","Tennessee","Tennessee"
"Texas","Texas","Texas","Texas"
"Oklahoma","Oklahoma","Oklahoma","Oklahoma"
"New Mexico State","New Mexico State","New Mexico State","New Mexico State"
"Troy","Troy","Troy","Troy"
"San Diego State","San Diego State","San Diego State","San Diego State"
"Virginia","Virginia","Virginia","Virginia"
"Wisconsin","Wisconsin","Wisconsin","Wisconsin"
"Kentucky","Kentucky","Kentucky","Kentucky"
"North Carolina State","North Carolina State","N.C. State","North Carolina State"
"Syracuse","Syracuse","Syracuse","Syracuse"
"Florida State","Florida State","Florida State","Florida State"
"Memphis","Memphis","Memphis","Memphis"
"New Mexico","New Mexico","New Mexico","New Mexico"
"Florida Atlantic","Florida Atlantic","Florida Atlantic","Florida Atlantic"
"Ohio","Ohio","Ohio","Ohio"
"Nevada","Nevada","Nevada","Nevada"
"Air Force","Air Force","Air Force",NA
"Arizona","Arizona","Arizona","Arizona"
"Arkansas State","Arkansas State","Arkansas State","Arkansas State"
"Baylor","Baylor","Baylor","Baylor"
"Boston College","Boston College","Boston College","Boston Col."
"Ball State","Ball State","Ball State","Ball State"
"Miami (OH)","Miami (OH)","Miami (OH)","Miami (OH)"
"Eastern Michigan","Eastern Michigan","Eastern Michigan","East. Michigan"
"Fresno State","Fresno State","Fresno State","Fresno State"
"Georgia Tech","Georgia Tech","Georgia Tech","Georgia Tech"
"Indiana","Indiana","Indiana","Indiana"
"Kent State","Kent State","Kent State","Kent State"
"Minnesota","Minnesota","Minnesota","Minnesota"
"Nevada-Las Vegas","Nevada-Las Vegas","UNLV","UNLV"
"Middle Tennessee State","Middle Tennessee State","Middle Tennessee State","Middle Tenn. State"
"Oregon","Oregon","Oregon","Oregon"
"Purdue","Purdue","Purdue","Purdue"
"Rutgers","Rutgers","Rutgers","Rutgers"
"South Florida","South Florida","USF","South Florida"
"Navy","Navy","Navy","Navy"
"Texas Tech","Texas Tech","Texas Tech","Texas Tech"
"UCLA","UCLA","UCLA","UCLA"
"Duke","Duke","Duke","Duke"
"West Virginia","West Virginia","West Virginia","West Virginia"
"Wyoming","Wyoming","Wyoming","Wyoming"
"Texas Christian","Texas Christian","TCU","TCU"
"Texas-El Paso","Texas-El Paso","UTEP","Texas-El Paso"
"Alabama-Birmingham","Alabama-Birmingham","UAB","Ala-Birmingham"
"Army","Army","Army","Army"
"Stanford","Stanford","Stanford","Stanford"
"Louisiana-Lafayette","Louisiana-Lafayette","Louisiana-Lafayette","La-Lafayette"
"Louisville","Louisville","Louisville","Louisville"
"Notre Dame","Notre Dame","Notre Dame","Notre Dame"
"Northern Illinois","Northern Illinois","Northern Illinois","Northern Illinois"
"Buffalo","Buffalo","Buffalo","Buffalo"
"Southern California","Southern California","USC","USC"
"Southern Mississippi","Southern Mississippi","Southern Miss","Southern Miss"
"Texas A&M","Texas A&M","Texas A&M","Texas A&M"
"Temple","Temple","Temple","Temple"
"North Texas","North Texas","North Texas",NA
"Vanderbilt","Vanderbilt","Vanderbilt","Vanderbilt"
"Virginia Tech","Virginia Tech","Virginia Tech","Virginia Tech"
"Western Michigan","Western Michigan","Western Michigan","West. Michigan"
"North Carolina","North Carolina","North Carolina","North Carolina"
"Boise State","Boise State","Boise State","Boise State"
"Akron","Akron","Akron","Akron"
"Central Florida","Central Florida","UCF","Central Florida"
"Colorado State","Colorado State","Colorado State","Colorado State"
"Idaho","Idaho","Idaho","Idaho"
"Miami (FL)","Miami (FL)",NA,"Miami (FL)"
"Utah State","Utah State","Utah State","Utah State"
"Mississippi","Mississippi","Ole Miss","Mississippi"
"Louisiana State","Louisiana State","LSU","LSU"
"Bowling Green State","Bowling Green State","Bowling Green","Bowling Green"
"Florida International","Florida International","FIU","Florida International"
"Louisiana Tech","Louisiana Tech","Louisiana Tech","Louisiana Tech"
"Tulane","Tulane","Tulane","Tulane"
"Rice","Rice","Rice","Rice"
"Western Kentucky","Western Kentucky","Western Kentucky","West. Kentucky"
"Indiana State","Indiana State",NA,NA
"Chattanooga","Chattanooga",NA,"Tenn-Chattanooga"
"Eastern Kentucky","Eastern Kentucky",NA,NA
"South Alabama","South Alabama","South Alabama",NA
"Massachusetts","Massachusetts","Massachusetts","Massachusetts"
"Texas State","Texas State","Texas State","Texas State"
"Texas-San Antonio","Texas-San Antonio","Texas-San Antonio","Texas-San Antonio"
"Georgia State","Georgia State","Georgia State","Georgia State"
"Old Dominion","Old Dominion","Old Dominion",NA
"Appalachian State","Appalachian State","Appalachian State","Appalachian State"
"Georgia Southern","Georgia Southern","Georgia Southern","Georgia Southern"
"Yale","Yale",NA,"Yale"
"Charlotte","Charlotte","Charlotte",NA
"William & Mary","William & Mary",NA,"William & Mary"
"Northwestern State","Northwestern State",NA,"NW State (LA)"
"Western Illinois","Western Illinois",NA,NA
"Missouri State","Missouri State",NA,"Missouri State"
"Sacramento State","Sacramento State",NA,NA
"Illinois State","Illinois State",NA,"Illinois State"
"Murray State","Murray State",NA,"Murray State"
"Maine","Maine",NA,"Maine"
"Montana State","Montana State",NA,"Montana State"
"Portland State","Portland State",NA,"Portland State"
"Eastern Washington","Eastern Washington",NA,"East. Washington"
"Cal Poly","Cal Poly",NA,NA
"Northern Arizona","Northern Arizona",NA,"Northern Arizona"
"Tennessee-Martin","Tennessee-Martin",NA,NA
"Samford","Samford",NA,"Samford"
"Eastern Illinois","Eastern Illinois",NA,"East. Illinois"
"Liberty","Liberty",NA,"Liberty"
"Citadel","Citadel",NA,"Citadel"
"Weber State","Weber State",NA,"Weber State"
"Sam Houston State","Sam Houston State",NA,"Sam Houston State"
"Nicholls State","Nicholls State",NA,"Nicholls State"
"Southeast Missouri State","Southeast Missouri State",NA,NA
"Idaho State","Idaho State",NA,NA
"Montana","Montana",NA,"Montana"
"Villanova","Villanova",NA,"Villanova"
"Florida A&M","Florida A&M",NA,"Florida A&M"
"Wofford","Wofford",NA,NA
"Jacksonville State","Jacksonville State",NA,"Jacksonville State"
"California-Davis","California-Davis",NA,NA
"Western Carolina","Western Carolina",NA,NA
"Virginia Military Institute","Virginia Military Institute",NA,NA
"Northern Iowa","Northern Iowa",NA,"Northern Iowa"
"Tennessee Tech","Tennessee Tech",NA,"Tennessee Tech"
"McNeese State","McNeese State",NA,"McNeese State"
"Grambling State","Grambling State",NA,"Grambling State"
"Southern Illinois","Southern Illinois",NA,"Southern Illinois"
"Youngstown State","Youngstown State",NA,NA
"Richmond","Richmond",NA,"Richmond"
"Southeastern Louisiana","Southeastern Louisiana",NA,NA
"Texas Southern","Texas Southern",NA,"Texas Southern"
"Rhode Island","Rhode Island",NA,NA
"Alcorn State","Alcorn State",NA,NA
"Stephen F. Austin","Stephen F. Austin",NA,NA
"Alabama State","Alabama State",NA,"Alabama State"
"Northeastern","Northeastern",NA,NA
"Hofstra","Hofstra",NA,"Hofstra"
"New Hampshire","New Hampshire",NA,"New Hampshire"
"Furman","Furman",NA,"Furman"
"North Carolina A&T","North Carolina A&T",NA,"North Carolina A&T"
"North Dakota State","North Dakota State",NA,"North Dakota State"
"Howard","Howard",NA,"Howard"
"Tennessee State","Tennessee State",NA,"Tennessee State"
"Southern Utah","Southern Utah",NA,"Southern Utah"
"South Carolina State","South Carolina State",NA,"South Carolina State"
"Northern Colorado","Northern Colorado",NA,"Northern Colorado"
"Central Arkansas","Central Arkansas",NA,"Central Arkansas"
"James Madison","James Madison",NA,"James Madison"
"Gardner-Webb","Gardner-Webb",NA,"Gardner-Webb"
"Elon","Elon",NA,"Elon"
"West Virginia Tech","West Virginia Tech",NA,NA
"Delaware State","Delaware State",NA,"Delaware State"
"Norfolk State","Norfolk State",NA,"Norfolk State"
"Charleston Southern","Charleston Southern",NA,NA
"Central Connecticut State","Central Connecticut State",NA,"Central Connecticut State"
"Arkansas-Pine Bluff","Arkansas-Pine Bluff",NA,NA
"Delaware","Delaware",NA,"Delaware"
"North Carolina Central","North Carolina Central",NA,"North Carolina Central"
"Morehead State","Morehead State",NA,NA
"South Dakota State","South Dakota State",NA,"South Dakota State"
"Southern","Southern",NA,NA
"Towson","Towson",NA,"Towson"
"Coastal Carolina","Coastal Carolina",NA,"Coastal Carolina"
"Alabama A&M","Alabama A&M",NA,"Alabama A&M"
"Morgan State","Morgan State",NA,NA
"Mississippi Valley State","Mississippi Valley State",NA,NA
"Jackson State","Jackson State",NA,"Jackson State"
"North Dakota","North Dakota",NA,"North Dakota"
"Prairie View A&M","Prairie View A&M",NA,NA
"Hampton","Hampton",NA,"Hampton"
"Presbyterian","Presbyterian",NA,"Presbyterian"
"South Dakota","South Dakota",NA,"South Dakota"
"Stony Brook","Stony Brook",NA,NA
"Austin Peay","Austin Peay",NA,NA
"Colgate","Colgate",NA,NA
"Fordham","Fordham",NA,"Fordham"
"Bethune-Cookman","Bethune-Cookman",NA,"Bethune-Cookman"
"Wagner","Wagner",NA,NA
"Lamar","Lamar",NA,NA
"Savannah State","Savannah State",NA,NA
"Texas A&M-Commerce","Texas A&M-Commerce",NA,NA
"Northwestern Oklahoma State","Northwestern Oklahoma State",NA,NA
"Abilene Christian","Abilene Christian",NA,"Abilene Christian"
"Duquesne","Duquesne",NA,NA
"Campbell","Campbell",NA,NA
"Albany","Albany",NA,"Albany"
"San Diego","San Diego",NA,"San Diego"
"Monmouth","Monmouth",NA,"Monmouth"
"Incarnate Word","Incarnate Word",NA,NA
"Bucknell","Bucknell",NA,NA
