Pick,Draft_Value,Jimmy_Value
1,34.6,3000
2,30.2,2600
3,27.6,2200
4,25.8,1800
5,24.3,1700
6,23.2,1600
7,22.2,1500
8,21.4,1400
9,20.6,1350
10,19.9,1300
11,19.3,1250
12,18.8,1200
13,18.3,1150
14,17.8,1100
15,17.4,1050
16,16.9,1000
17,16.6,950
18,16.2,900
19,15.8,875
20,15.5,850
21,15.2,800
22,14.9,780
23,14.6,760
24,14.4,740
25,14.1,720
26,13.9,700
27,13.6,680
28,13.4,660
29,13.2,640
30,12.9,620
31,12.7,600
32,12.5,590
33,12.3,580
34,12.1,560
35,12,550
36,11.8,540
37,11.6,530
38,11.4,520
39,11.3,510
40,11.1,500
41,11,490
42,10.8,480
43,10.6,470
44,10.5,460
45,10.4,450
46,10.2,440
47,10.1,430
48,9.9,420
49,9.8,410
50,9.7,400
51,9.6,390
52,9.4,380
53,9.3,370
54,9.2,360
55,9.1,350
56,9,340
57,8.9,330
58,8.7,320
59,8.6,310
60,8.5,300
61,8.4,292
62,8.3,284
63,8.2,276
64,8.1,270
65,8,265
66,7.9,260
67,7.8,255
68,7.7,250
69,7.6,245
70,7.5,240
71,7.5,235
72,7.4,230
73,7.3,225
74,7.2,220
75,7.1,215
76,7,210
77,6.9,205
78,6.9,200
79,6.8,195
80,6.7,190
81,6.6,185
82,6.5,180
83,6.5,175
84,6.4,170
85,6.3,165
86,6.2,160
87,6.2,155
88,6.1,150
89,6,145
90,5.9,140
91,5.9,136
92,5.8,132
93,5.7,128
94,5.7,124
95,5.6,120
96,5.5,116
97,5.5,112
98,5.4,108
99,5.3,104
100,5.3,100
101,5.2,96
102,5.1,92
103,5.1,88
104,5,86
105,5,84
106,4.9,82
107,4.8,80
108,4.8,78
109,4.7,76
110,4.7,74
111,4.6,72
112,4.6,70
113,4.5,68
114,4.4,66
115,4.4,64
116,4.3,62
117,4.3,60
118,4.2,58
119,4.2,56
120,4.1,54
121,4.1,52
122,4,50
123,4,49
124,3.9,48
125,3.9,47
126,3.8,46
127,3.8,45
128,3.7,44
129,3.7,43
130,3.6,42
131,3.6,41
132,3.5,40
133,3.5,39.5
134,3.4,39
135,3.4,38.5
136,3.3,38
137,3.3,37.5
138,3.2,37
139,3.2,36.5
140,3.1,36
141,3.1,35.5
142,3,35
143,3,34.5
144,3,34
145,2.9,33.5
146,2.9,33
147,2.8,32.6
148,2.8,32.2
149,2.7,31.8
150,2.7,31.4
151,2.7,31
152,2.6,30.6
153,2.6,30.2
154,2.5,29.8
155,2.5,29.4
156,2.4,29
157,2.4,28.6
158,2.4,28.2
159,2.3,27.8
160,2.3,27.4
161,2.2,27
162,2.2,26.6
163,2.2,26.2
164,2.1,25.8
165,2.1,25.4
166,2,25
167,2,24.6
168,2,24.2
169,1.9,23.8
170,1.9,23.4
171,1.9,23
172,1.8,22.6
173,1.8,22.2
174,1.7,21.8
175,1.7,21.4
176,1.7,21
177,1.6,20.6
178,1.6,20.2
179,1.6,19.8
180,1.5,19.4
181,1.5,19
182,1.5,18.6
183,1.4,18.2
184,1.4,17.8
185,1.4,17.4
186,1.3,17
187,1.3,16.6
188,1.3,16.2
189,1.2,15.8
190,1.2,15.4
191,1.2,15
192,1.1,14.6
193,1.1,14.2
194,1.1,13.8
195,1,13.4
196,1,13
197,1,12.6
198,0.9,12.2
199,0.9,11.8
200,0.9,11.4
201,0.8,11
202,0.8,10.6
203,0.8,10.2
204,0.7,9.8
205,0.7,9.4
206,0.7,9
207,0.6,8.6
208,0.6,8.2
209,0.6,7.8
210,0.6,7.4
211,0.5,7
212,0.5,6.6
213,0.5,6.2
214,0.4,5.8
215,0.4,5.4
216,0.4,5
217,0.3,4.6
218,0.3,4.2
219,0.3,3.8
220,0.3,3.4
221,0.2,3
222,0.2,2.6
223,0.2,2.3
224,0.1,2